"","species","preds"
"1","Aa achalensis","Not Threatened"
"2","Aa argyrolepis","Not Threatened"
"3","Aa calceata","Not Threatened"
"4","Aa colombiana","Not Threatened"
"5","Aa denticulata","Not Threatened"
"6","Aa fiebrigii","Not Threatened"
"7","Aa hartwegii","Not Threatened"
"8","Aa hieronymi","Not Threatened"
"9","Aa leucantha","Not Threatened"
"10","Aa macra","Not Threatened"
"11","Aa maderoi","Not Threatened"
"12","Aa mandonii","Not Threatened"
"13","Aa matthewsii","Not Threatened"
"14","Aa microtidis","Not Threatened"
"15","Aa paleacea","Not Threatened"
"16","Aa riobambae","Not Threatened"
"17","Aa sphaeroglossa","Not Threatened"
"18","Aa trilobulata","Not Threatened"
"19","Aa weddelliana","Not Threatened"
"20","Abdominea minimiflora","Threatened"
"21","Acampe ochracea","Threatened"
"22","Acampe pachyglossa","Not Threatened"
"23","Acampe praemorsa","Threatened"
"24","Acampe rigida","Not Threatened"
"25","Acanthophippium striatum","Threatened"
"26","Acianthera adamantinensis","Not Threatened"
"27","Acianthera angustifolia","Not Threatened"
"28","Acianthera angustisepala","Not Threatened"
"29","Acianthera aphthosa","Not Threatened"
"30","Acianthera auriculata","Not Threatened"
"31","Acianthera bidentula","Not Threatened"
"32","Acianthera binotii","Not Threatened"
"33","Acianthera bragae","Not Threatened"
"34","Acianthera capillaris","Not Threatened"
"35","Acianthera chrysantha","Not Threatened"
"36","Acianthera ciliata","Threatened"
"37","Acianthera circumplexa","Not Threatened"
"38","Acianthera cogniauxiana","Not Threatened"
"39","Acianthera cordatifolia","Threatened"
"40","Acianthera crinita","Not Threatened"
"41","Acianthera cryptantha","Not Threatened"
"42","Acianthera cryptophoranthoides","Threatened"
"43","Acianthera decipiens","Not Threatened"
"44","Acianthera decurrens","Threatened"
"45","Acianthera discophylla","Not Threatened"
"46","Acianthera duartei","Threatened"
"47","Acianthera dutrae","Not Threatened"
"48","Acianthera ellipsophylla","Not Threatened"
"49","Acianthera erebatensis","Threatened"
"50","Acianthera erosa","Threatened"
"51","Acianthera erythrogramma","Not Threatened"
"52","Acianthera exarticulata","Not Threatened"
"53","Acianthera eximia","Not Threatened"
