gbifid;decimallongitude;decimallatitude;ISO_CC;CONTINENT;COUNTRY;speciesKey
147582060;-9.18333333333338;6.933333333333334;LBR;Africa;Liberia;2798175
147582061;-9.175000000000049;6.933333333333334;LBR;Africa;Liberia;2798175
147582062;-9.166666666666714;6.933333333333334;LBR;Africa;Liberia;2798175
147582063;-9.15833333333338;6.933333333333334;LBR;Africa;Liberia;2798175
147582064;-9.150000000000048;6.933333333333334;LBR;Africa;Liberia;2798175
147582065;-9.141666666666715;6.933333333333334;LBR;Africa;Liberia;2798175
147582066;-9.133333333333384;6.933333333333334;LBR;Africa;Liberia;2798175
147582067;-9.12500000000005;6.933333333333334;LBR;Africa;Liberia;2798175
147582068;-9.116666666666717;6.933333333333334;LBR;Africa;Liberia;2798175
147582069;-9.108333333333384;6.933333333333334;LBR;Africa;Liberia;2798175
147582070;-9.100000000000051;6.933333333333334;LBR;Africa;Liberia;2798175
147582071;-9.091666666666718;6.933333333333334;LBR;Africa;Liberia;2798175
147582072;-9.083333333333384;6.933333333333334;LBR;Africa;Liberia;2798175
147582073;-9.075000000000053;6.933333333333334;LBR;Africa;Liberia;2798175
147582074;-9.06666666666672;6.933333333333334;LBR;Africa;Liberia;2798175
147582075;-9.058333333333389;6.933333333333334;LBR;Africa;Liberia;2798175
147582076;-9.050000000000054;6.933333333333334;LBR;Africa;Liberia;2798175
147582077;-9.04166666666672;6.933333333333334;LBR;Africa;Liberia;2798175
147582078;-9.033333333333388;6.933333333333334;LBR;Africa;Liberia;2798175
147582079;-9.025000000000055;6.933333333333334;LBR;Africa;Liberia;2798175
147582080;-9.016666666666724;6.933333333333334;LBR;Africa;Liberia;2798175
147582081;-9.00833333333339;6.933333333333334;LBR;Africa;Liberia;2798175
147582082;-9.000000000000057;6.933333333333334;LBR;Africa;Liberia;2798175
147582083;-8.991666666666724;6.933333333333334;LBR;Africa;Liberia;2798175
147582084;-8.983333333333391;6.933333333333334;LBR;Africa;Liberia;2798175
147582085;-8.975000000000058;6.933333333333334;LBR;Africa;Liberia;2798175
147582086;-8.966666666666725;6.933333333333334;LBR;Africa;Liberia;2798175
147582087;-8.958333333333393;6.933333333333334;LBR;Africa;Liberia;2798175
147582088;-8.95000000000006;6.933333333333334;LBR;Africa;Liberia;2798175
147582089;-8.941666666666727;6.933333333333334;LBR;Africa;Liberia;2798175
147582090;-8.933333333333394;6.933333333333334;LBR;Africa;Liberia;2798175
147582091;-8.925000000000061;6.933333333333334;LBR;Africa;Liberia;2798175
147582092;-8.916666666666728;6.933333333333334;LBR;Africa;Liberia;2798175
147582093;-8.908333333333395;6.933333333333334;LBR;Africa;Liberia;2798175
147582094;-8.900000000000063;6.933333333333334;LBR;Africa;Liberia;2798175
147582095;-8.89166666666673;6.933333333333334;LBR;Africa;Liberia;2798175
147582096;-8.883333333333397;6.933333333333334;LBR;Africa;Liberia;2798175
147582097;-8.875000000000064;6.933333333333334;LBR;Africa;Liberia;2798175
147582098;-8.866666666666731;6.933333333333334;LBR;Africa;Liberia;2798175
147582099;-8.858333333333398;6.933333333333334;LBR;Africa;Liberia;2798175
147582100;-8.850000000000065;6.933333333333334;LBR;Africa;Liberia;2798175
147582101;-8.841666666666733;6.933333333333334;LBR;Africa;Liberia;2798175
147582102;-8.8333333333334;6.933333333333334;LBR;Africa;Liberia;2798175
147582103;-8.825000000000067;6.933333333333334;LBR;Africa;Liberia;2798175
147582104;-8.816666666666734;6.933333333333334;LBR;Africa;Liberia;2798175
147582105;-8.808333333333401;6.933333333333334;LBR;Africa;Liberia;2798175
147582106;-8.800000000000068;6.933333333333334;LBR;Africa;Liberia;2798175
147582107;-8.791666666666735;6.933333333333334;LBR;Africa;Liberia;2798175
147582108;-8.783333333333402;6.933333333333334;LBR;Africa;Liberia;2798175
147582109;-8.77500000000007;6.933333333333334;LBR;Africa;Liberia;2798175
147582110;-8.766666666666737;6.933333333333334;LBR;Africa;Liberia;2798175
147582111;-8.758333333333404;6.933333333333334;LBR;Africa;Liberia;2798175
147582112;-8.750000000000071;6.933333333333334;LBR;Africa;Liberia;2798175
147582113;-8.741666666666738;6.933333333333334;LBR;Africa;Liberia;2798175
147582114;-8.733333333333405;6.933333333333334;LBR;Africa;Liberia;2798175
147582115;-8.725000000000072;6.933333333333334;LBR;Africa;Liberia;2798175
147582116;-8.71666666666674;6.933333333333334;LBR;Africa;Liberia;2798175
147582117;-8.708333333333407;6.933333333333334;LBR;Africa;Liberia;2798175
147582118;-8.700000000000074;6.933333333333334;LBR;Africa;Liberia;2798175
147582119;-8.691666666666741;6.933333333333334;LBR;Africa;Liberia;2798175
147582120;-8.683333333333408;6.933333333333334;LBR;Africa;Liberia;2798175
147582121;-8.675000000000075;6.933333333333334;LBR;Africa;Liberia;2798175
147582122;-8.666666666666742;6.933333333333334;LBR;Africa;Liberia;2798175
147582123;-8.65833333333341;6.933333333333334;LBR;Africa;Liberia;2798175
147582124;-8.650000000000077;6.933333333333334;LBR;Africa;Liberia;2798175
147582125;-8.641666666666744;6.933333333333334;LBR;Africa;Liberia;2798175
147582126;-8.633333333333411;6.933333333333334;LBR;Africa;Liberia;2798175
147582127;-8.625000000000078;6.933333333333334;LBR;Africa;Liberia;2798175
147582128;-8.616666666666745;6.933333333333334;LBR;Africa;Liberia;2798175
147582129;-8.608333333333412;6.933333333333334;LBR;Africa;Liberia;2798175
147582130;-8.60000000000008;6.933333333333334;LBR;Africa;Liberia;2798175
147582131;-8.591666666666747;6.933333333333334;LBR;Africa;Liberia;2798175
147582132;-8.583333333333414;6.933333333333334;LBR;Africa;Liberia;2798175
147582133;-8.575000000000081;6.933333333333334;LBR;Africa;Liberia;2798175
147582134;-8.566666666666748;6.933333333333334;LBR;Africa;Liberia;2798175
147582135;-8.558333333333415;6.933333333333334;LBR;Africa;Liberia;2798175
147582136;-8.550000000000082;6.933333333333334;LBR;Africa;Liberia;2798175
147582137;-8.54166666666675;6.933333333333334;LBR;Africa;Liberia;2798175
147582138;-8.533333333333417;6.933333333333334;LBR;Africa;Liberia;2798175
147582139;-8.525000000000084;6.933333333333334;LBR;Africa;Liberia;2798175
147582140;-8.516666666666751;6.933333333333334;LBR;Africa;Liberia;2798175
147582141;-8.508333333333418;6.933333333333334;LBR;Africa;Liberia;2798175
147582142;-8.500000000000085;6.933333333333334;LBR;Africa;Liberia;2798175
147582143;-8.491666666666752;6.933333333333334;LBR;Africa;Liberia;2798175
147582144;-8.48333333333342;6.933333333333334;LBR;Africa;Liberia;2798175
147582145;-8.475000000000087;6.933333333333334;LBR;Africa;Liberia;2798175
147582146;-8.466666666666754;6.933333333333334;LBR;Africa;Liberia;2798175
147582147;-8.458333333333421;6.933333333333334;LBR;Africa;Liberia;2798175
147582148;-8.450000000000088;6.933333333333334;LBR;Africa;Liberia;2798175
147582149;-8.441666666666755;6.933333333333334;LBR;Africa;Liberia;2798175
147582150;-8.433333333333422;6.933333333333334;LBR;Africa;Liberia;2798175
147582151;-8.42500000000009;6.933333333333334;LBR;Africa;Liberia;2798175
147582152;-8.416666666666757;6.933333333333334;LBR;Africa;Liberia;2798175
147582153;-8.408333333333424;6.933333333333334;LBR;Africa;Liberia;2798175
147582154;-8.400000000000091;6.933333333333334;LBR;Africa;Liberia;2798175
147582155;-8.391666666666758;6.933333333333334;LBR;Africa;Liberia;2798175
147582156;-8.383333333333425;6.933333333333334;LBR;Africa;Liberia;2798175
147582157;-8.375000000000092;6.933333333333334;LBR;Africa;Liberia;2798175
147582158;-8.36666666666676;6.933333333333334;LBR;Africa;Liberia;2798175
147582159;-8.358333333333427;6.933333333333334;LBR;Africa;Liberia;2798175
147582160;-8.350000000000094;6.933333333333334;LBR;Africa;Liberia;2798175
147582161;-8.341666666666761;6.933333333333334;LBR;Africa;Liberia;2798175
147582162;-8.333333333333428;6.933333333333334;LBR;Africa;Liberia;2798175
147582163;-8.325000000000095;6.933333333333334;LBR;Africa;Liberia;2798175
147582164;-10.0;6.941666666666666;LBR;Africa;Liberia;2798175
147582165;-9.991666666666667;6.941666666666666;LBR;Africa;Liberia;2798175
147582166;-9.983333333333334;6.941666666666666;LBR;Africa;Liberia;2798175
147582167;-9.975;6.941666666666666;LBR;Africa;Liberia;2798175
147582168;-9.966666666666669;6.941666666666666;LBR;Africa;Liberia;2798175
147582169;-9.958333333333336;6.941666666666666;LBR;Africa;Liberia;2798175
147582170;-9.950000000000005;6.941666666666666;LBR;Africa;Liberia;2798175
147582171;-9.94166666666667;6.941666666666666;LBR;Africa;Liberia;2798175
147582172;-9.933333333333335;6.941666666666666;LBR;Africa;Liberia;2798175
147582173;-9.925000000000004;6.941666666666666;LBR;Africa;Liberia;2798175
147582174;-9.916666666666671;6.941666666666666;LBR;Africa;Liberia;2798175
147582175;-9.90833333333334;6.941666666666666;LBR;Africa;Liberia;2798175
147582176;-9.900000000000006;6.941666666666666;LBR;Africa;Liberia;2798175
147582177;-9.891666666666673;6.941666666666666;LBR;Africa;Liberia;2798175
147582178;-9.88333333333334;6.941666666666666;LBR;Africa;Liberia;2798175
147582179;-9.875000000000009;6.941666666666666;LBR;Africa;Liberia;2798175
147582180;-9.866666666666674;6.941666666666666;LBR;Africa;Liberia;2798175
147582181;-9.85833333333334;6.941666666666666;LBR;Africa;Liberia;2798175
147582182;-9.850000000000009;6.941666666666666;LBR;Africa;Liberia;2798175
147582183;-9.841666666666676;6.941666666666666;LBR;Africa;Liberia;2798175
147582184;-9.833333333333345;6.941666666666666;LBR;Africa;Liberia;2798175
147582185;-9.82500000000001;6.941666666666666;LBR;Africa;Liberia;2798175
147582186;-9.816666666666675;6.941666666666666;LBR;Africa;Liberia;2798175
147582187;-9.808333333333344;6.941666666666666;LBR;Africa;Liberia;2798175
147582188;-9.800000000000011;6.941666666666666;LBR;Africa;Liberia;2798175
147582189;-9.79166666666668;6.941666666666666;LBR;Africa;Liberia;2798175
147582190;-9.783333333333346;6.941666666666666;LBR;Africa;Liberia;2798175
147582191;-9.775000000000013;6.941666666666666;LBR;Africa;Liberia;2798175
147582192;-9.76666666666668;6.941666666666666;LBR;Africa;Liberia;2798175
147582193;-9.758333333333349;6.941666666666666;LBR;Africa;Liberia;2798175
147582194;-9.750000000000014;6.941666666666666;LBR;Africa;Liberia;2798175
147582195;-9.74166666666668;6.941666666666666;LBR;Africa;Liberia;2798175
147582196;-9.733333333333348;6.941666666666666;LBR;Africa;Liberia;2798175
147582197;-9.725000000000016;6.941666666666666;LBR;Africa;Liberia;2798175
147582198;-9.716666666666685;6.941666666666666;LBR;Africa;Liberia;2798175
147582199;-9.70833333333335;6.941666666666666;LBR;Africa;Liberia;2798175
147582200;-9.700000000000015;6.941666666666666;LBR;Africa;Liberia;2798175
147582201;-9.691666666666684;6.941666666666666;LBR;Africa;Liberia;2798175
147582202;-9.683333333333351;6.941666666666666;LBR;Africa;Liberia;2798175
147582203;-9.675000000000018;6.941666666666666;LBR;Africa;Liberia;2798175
147582204;-9.666666666666686;6.941666666666666;LBR;Africa;Liberia;2798175
147582205;-9.658333333333353;6.941666666666666;LBR;Africa;Liberia;2798175
147582206;-9.65000000000002;6.941666666666666;LBR;Africa;Liberia;2798175
147582207;-9.641666666666689;6.941666666666666;LBR;Africa;Liberia;2798175
147582208;-9.633333333333354;6.941666666666666;LBR;Africa;Liberia;2798175
147582209;-9.62500000000002;6.941666666666666;LBR;Africa;Liberia;2798175
147582210;-9.616666666666688;6.941666666666666;LBR;Africa;Liberia;2798175
147582211;-9.608333333333356;6.941666666666666;LBR;Africa;Liberia;2798175
147582212;-9.600000000000025;6.941666666666666;LBR;Africa;Liberia;2798175
147582213;-9.59166666666669;6.941666666666666;LBR;Africa;Liberia;2798175
147582214;-9.583333333333355;6.941666666666666;LBR;Africa;Liberia;2798175
147582215;-9.575000000000024;6.941666666666666;LBR;Africa;Liberia;2798175
147582216;-9.566666666666691;6.941666666666666;LBR;Africa;Liberia;2798175
147582217;-9.558333333333358;6.941666666666666;LBR;Africa;Liberia;2798175
147582218;-9.550000000000026;6.941666666666666;LBR;Africa;Liberia;2798175
147582219;-9.541666666666693;6.941666666666666;LBR;Africa;Liberia;2798175
147582220;-9.53333333333336;6.941666666666666;LBR;Africa;Liberia;2798175
147582221;-9.525000000000029;6.941666666666666;LBR;Africa;Liberia;2798175
147582222;-9.516666666666694;6.941666666666666;LBR;Africa;Liberia;2798175
147582223;-9.50833333333336;6.941666666666666;LBR;Africa;Liberia;2798175
147582224;-9.500000000000028;6.941666666666666;LBR;Africa;Liberia;2798175
147582225;-9.491666666666696;6.941666666666666;LBR;Africa;Liberia;2798175
147582226;-9.483333333333364;6.941666666666666;LBR;Africa;Liberia;2798175
147582227;-9.47500000000003;6.941666666666666;LBR;Africa;Liberia;2798175
147582228;-9.466666666666695;6.941666666666666;LBR;Africa;Liberia;2798175
147582229;-9.458333333333364;6.941666666666666;LBR;Africa;Liberia;2798175
147582230;-9.450000000000031;6.941666666666666;LBR;Africa;Liberia;2798175
147582231;-9.441666666666698;6.941666666666666;LBR;Africa;Liberia;2798175
147582232;-9.433333333333366;6.941666666666666;LBR;Africa;Liberia;2798175
147582233;-9.425000000000033;6.941666666666666;LBR;Africa;Liberia;2798175
147582234;-9.4166666666667;6.941666666666666;LBR;Africa;Liberia;2798175
147582235;-9.408333333333369;6.941666666666666;LBR;Africa;Liberia;2798175
147582236;-9.400000000000034;6.941666666666666;LBR;Africa;Liberia;2798175
147582237;-9.3916666666667;6.941666666666666;LBR;Africa;Liberia;2798175
147582238;-9.383333333333368;6.941666666666666;LBR;Africa;Liberia;2798175
147582239;-9.375000000000036;6.941666666666666;LBR;Africa;Liberia;2798175
147582240;-9.366666666666704;6.941666666666666;LBR;Africa;Liberia;2798175
147582241;-9.35833333333337;6.941666666666666;LBR;Africa;Liberia;2798175
147582242;-9.350000000000035;6.941666666666666;LBR;Africa;Liberia;2798175
147582243;-9.341666666666704;6.941666666666666;LBR;Africa;Liberia;2798175
147582244;-9.333333333333371;6.941666666666666;LBR;Africa;Liberia;2798175
147582245;-9.325000000000038;6.941666666666666;LBR;Africa;Liberia;2798175
147582246;-9.316666666666706;6.941666666666666;LBR;Africa;Liberia;2798175
147582247;-9.308333333333373;6.941666666666666;LBR;Africa;Liberia;2798175
147582248;-9.30000000000004;6.941666666666666;LBR;Africa;Liberia;2798175
147582249;-9.291666666666709;6.941666666666666;LBR;Africa;Liberia;2798175
147582250;-9.283333333333374;6.941666666666666;LBR;Africa;Liberia;2798175
147582251;-9.27500000000004;6.941666666666666;LBR;Africa;Liberia;2798175
147582252;-9.266666666666708;6.941666666666666;LBR;Africa;Liberia;2798175
147582253;-9.258333333333375;6.941666666666666;LBR;Africa;Liberia;2798175
147582254;-9.250000000000044;6.941666666666666;LBR;Africa;Liberia;2798175
147582255;-9.24166666666671;6.941666666666666;LBR;Africa;Liberia;2798175
147582256;-9.233333333333375;6.941666666666666;LBR;Africa;Liberia;2798175
147582257;-9.225000000000044;6.941666666666666;LBR;Africa;Liberia;2798175
147582258;-9.216666666666711;6.941666666666666;LBR;Africa;Liberia;2798175
147582259;-9.208333333333378;6.941666666666666;LBR;Africa;Liberia;2798175
147582260;-9.200000000000044;6.941666666666666;LBR;Africa;Liberia;2798175
147582261;-9.191666666666713;6.941666666666666;LBR;Africa;Liberia;2798175
147582262;-9.18333333333338;6.941666666666666;LBR;Africa;Liberia;2798175
147582263;-9.175000000000049;6.941666666666666;LBR;Africa;Liberia;2798175
147582264;-9.166666666666714;6.941666666666666;LBR;Africa;Liberia;2798175
147582265;-9.15833333333338;6.941666666666666;LBR;Africa;Liberia;2798175
